term,counts
che,2570
lives,2569
come,2569
booster,2565
vax,2541
elonmusk,2535
qr,2518
covidisnotover,2507
next,2498
million,2492
months,2484
van,2482
er,2480
look,2452
two,2446
yes,2445
great,2433
sur,2414
says,2406
symptoms,2406
thing,2401
already,2401
usa,2398
around,2393
report,2392
war,2383
children,2357
oh,2356
article,2350
high,2344
nothing,2343
dan,2340
eu,2336
het,2333
iancopeland5,2331
card,2316
home,2314
um,2313
system,2300
big,2300
spread,2289
fin,2289
anyone,2288
com,2286
must,2285
dass,2276
20,2262
25,2261
sure,2249
13,2249
14,2245
eine,2233
qu,2228
yet,2198
evidence,2196
100,2194
week,2193
used,2192
cov,2192
dans,2191
case,2177
ever,2176
states,2173
start,2166
ve,2165
au,2161
global,2141
16,2136
times,2124
healthcare,2119
part,2100
chinese,2095
canada,2095
done,2091
bei,2090
vacuna,2089
impact,2077
ein,2076
als,2066
something,2063
certificate,2052
vaccinesget,2051
tell,2048
30,2039
rate,2038
support,2035
doctors,2030
live,2025
sind,2024
reported,2023
social,2022
etc,2021
bill,2009
always,2008
lol,2001
wie,1997
find,1983
makismd,1969
im,1966
old,1966
immune,1962
par,1961
free,1959
ja,1958
mcmasteru,1950
best,1932
anti,1931
machealthsci,1925
mcmasteriidr,1923
fact,1921
emergencia,1918
actually,1911
president,1911
infections,1901
thanks,1892
sich,1889
hope,1883
total,1875
auf,1873
cdc,1872
truth,1869
found,1869
fauci,1857
dat,1849
मल,1829
noch,1828
information,1825
uk,1823
traceyspicer,1821
population,1816
positive,1811
wearing,1809
hospitals,1807
boosters,1807
jab,1801
show,1788
mecfs,1786
person,1784
anything,1780
lot,1776
tests,1771
brain,1770
related,1770
wuhan,1769
give,1763
testing,1758
response,1758
sick,1747
check,1747
things,1735
three,1735
including,1729
lost,1726
p_mcculloughmd,1724
hours,1723
aber,1718
number,1716
bad,1709
een,1701
maybe,1700
trying,1698
effects,1697
forget,1697
family,1696
active,1691
reports,1686
left,1683
hat,1673
mean,1671
wear,1670
shot,1664
mal,1663
bien,1659
04,1654
ivermectin,1651
update,1650
shots,1650
fake,1649
away,1644
current,1644
god,1643
ils,1643
ago,1643
the,1641
others,1640
protect,1639
community,1634
treatment,1629
ont,1629
feel,1624
avec,1617
put,1607
less,1607
effective,1605
ll,1595
karl_lauterbach,1594
ser,1592
wrong,1591
control,1591
ça,1590
working,1590
far,1590
called,1589
sont,1588
place,1573
remember,1572
enough,1572
face,1572
took,1571
lies,1571
human,1567
killed,1563
años,1562
influenza,1557
oder,1550
ai,1550
coming,1544
continue,1543
ou,1540
millions,1539
might,1539
spike,1537
stay,1528
damage,1526
early,1522
business,1521
rates,1517
haben,1517
doctor,1514
nur,1512
niet,1512
severe,1510
variant,1508
omicron,1506
someone,1504
heart,1503
abc,1502
point,1502
joe,1502
countries,1500
caused,1497
according,1497
needs,1495
came,1493
immunity,1490
dose,1490
everything,1485
change,1484
likely,1477
ending,1476
saying,1474
food,1468
pay,1467
told,1460
americans,1459
humans,1453
thought,1447
studies,1443
american,1441
safety,1439
32,1434
available,1431
latest,1429
group,1424
vacina,1415
school,1414
send,1410
fear,1408
follow,1406
shit,1406
true,1406
least,1405
full,1399
age,1393
doses,1389
making,1388
daily,1388
problem,1380
based,1380
love,1380
using,1371
soon,1370
house,1370
lockdown,1369
nuevos,1368
sa,1360
ukraine,1358
no,1350
knew,1348
personas,1347
कर,1346
question,1344
cancer,1343
issues,1343
2019,1342
potus,1341
kids,1340
online,1333
yeah,1325
hard,1320
propaganda,1316
23,1312
term,1310
went,1309
increase,1308
50,1308
following,1307
experts,1307
understand,1306
youtube,1306
save,1304
message,1303
नए,1301
gustavobolivar,1287
little,1284
uma,1282
govt,1276
wird,1271
side,1270
job,1270
though,1269
met,1268
tagesschau,1261
wenn,1261
learn,1258
illness,1256
dead,1255
dangerous,1254
longer,1254
call,1253
started,1249
tout,1247
wir,1242
important,1242
diseases,1239
va,1236
travel,1235
werden,1235
watch,1234
ccp,1234
arcturus,1233
mehr,1232
18,1231
united,1229
nous,1228
try,1227
dem,1225
channel,1218
mas,1217
lie,1216
numbers,1212
vacunación,1212
dying,1211
crisis,1207
pharma,1207
billion,1206
makes,1205
plan,1201
unvaccinated,1200
xbb,1198
market,1197
it,1194
weeks,1194
trust,1191
higher,1191
different,1190
kill,1189
march,1188
gente,1184
vaccin,1184
young,1184
seems,1181
keine,1181
gibt,1180
transmission,1179
serious,1178
fda,1178
exemption,1176
cbcnews,1175
video,1172
बढ,1172
low,1170
blood,1170
america,1170
among,1168
21,1167
shows,1165
sorry,1165
mandates,1163
nie,1158
moderna,1157
future,1156
op,1154
published,1153
worse,1152
impfung,1151
australia,1150
rise,1143
known,1143
kann,1143
share,1141
रह,1139
stupid,1138
tested,1136
thechiefnerd,1135
economy,1132
month,1132
abril,1130
probably,1129
ik,1127
tweet,1126
staff,1125
gobierno,1123
infected,1122
book,1122
especially,1122
federal,1122
mild,1120
course,1120
you,1120
wo,1119
40,1118
22,1118
reason,1118
law,1118
healthy,1117
contre,1117
possible,1115
solo,1112
viral,1112
happened,1112
fait,1108
almost,1107
common,1107
delhi,1106
women,1102
viruses,1101
top,1101
país,1100
body,1098
rest,1098
comme,1097
misinformation,1096
else,1096
sarscov2,1095
signs,1094
air,1092
ask,1091
past,1091
normal,1088
seen,1086
ok,1085
dos,1085
increased,1084
single,1082
medicine,1081
covid_19,1080
एक,1078
det,1074
whatsapp,1073
created,1073
story,1073
17,1071
wow,1070
info,1070
hier,1069
insurance,1068
order,1068
finally,1061
recovery,1053
results,1049
pcr,1049
lockdowns,1049
mundo,1048
ones,1047
nach,1047
guess,1046
yang,1046
prevent,1045
60,1041
stats,1041
workers,1039
aus,1038
later,1035
drug,1030
looking,1030
program,1028
alle,1023
means,1023
whole,1022
in,1017
nacional,1017
source,1014
apr,1014
given,1013
cold,1009
wonder,1005
wait,1005
members,1001
ended,1001
fully,1000
white,998
interesting,997
level,995
vigilantfox,994
hear,991
florida,991
issue,990
set,990
mental,990
talking,986
masking,986
sanitaria,986
needed,985
injections,985
mejor,982
across,982
maske,982
letters,981
contagios,978
team,976
political,975
second,974
jesus,973
analysis,973
vor,967
paid,967
schon,962
worked,962
vs,960
official,960
dit,960
history,958
forced,958
fuck,956
late,954
funded,951
über,951
policy,950
sense,950
foi,947
gain,947
jabs,945
cdcgov,944
general,944
presidente,943
received,942
maskup,940
wave,935
00,933
julius_s_malema,932
living,932
bobby_guse,929
18056260636,929
être,929
día,927
behind,924
able,924
name,924
party,923
ulrike_1985,922
friends,920
false,920
menschen,919
power,917
open,915
spring,912
mortality,912
astrazeneca,911
aux,911
talk,909
vulnerable,909
nhs,906
vaccinations,906
même,901
isso,900
measures,899
mortgage,898
ihr,895
vurdu,894
bu,894
patient,892
conspiracy,891
become,890
pabloechenique,890
causes,890
action,889
court,887
office,887
voor,886
debt,885
function,885
signed,879
gates,879
visit,879
instead,879
spreading,876
ini,875
protein,875
recent,872
either,869
sistema,867
zero,867
administration,867
mass,865
restrictions,865
ahora,865
economic,862
été,862
fresh,862
robertkennedyjr,861
buy,861
run,861
tous,860
and,856
facts,856
mind,855
co,854
faire,852
stkirsch,852
fucking,850
vaccins,849
lying,849
scientists,848
p_h_s_official,848
russia,847
exactly,847
cure,845
lied,845
immer,845
however,842
sanchezcastejon,842
mandate,841
thread,841
lc,841
zijn,840
variants,840
kind,839
dann,837
education,837
together,835
access,834
sono,834
scientific,834
france,834
bring,831
knows,830
policies,829
gatewaypundit,827
sad,827
stopped,827
city,827
experimental,826
worldwide,826
excess,826
पर,824
despite,820
anymore,820
criminal,819
thousands,819
drlimengyan1,819
whowpro,818
hey,817
type,817
nicolasberrod,816
protection,811
bbc,811
personal,810
cette,809
pretty,806
evil,804
development,802
om,799
मर,797
durch,797
mir,796
effect,795
potential,795
idea,794
hi,791
mil,790
nobody,790
cubaporlavida,790
small,789
within,788
sir,788
respiratory,788
ces,788
killing,788
fight,787
experience,786
schools,784
bs,782
students,782
outbreak,782
ema_news,781
maar,780
answer,779
who_europe,778
men,777
gone,776
guy,775
bullshit,775
ppl,775
deadly,773
self,773
diese,772
jetzt,772
hand,771
og,771
breaking,770
updated,769
claims,768
citizens,767
project,767
happy,766
dm,765
highest,765
infectious,765
así,764
individuals,763
adults,762
along,762
doch,761
attention,761
muertes,761
pass,761
ends,760
hell,759
75,759
door,759
taken,758
levels,757
gop,757
cubacooperaven,756
einer,754
narrative,754
santé,752
humanity,751
brasil,750
venezuela,748
reporting,747
mandatory,745
harm,744
climate,743
gracias,743
university,743
international,741
david,741
pra,740
kasus,739
website,738
act,738
guys,738
released,738
election,737
review,737
leading,735
move,733
bir,732
tem,732
services,732
close,732
department,732
clinical,731
comes,729
un,729
treatments,729
gave,729
bin,729
this,728
hit,728
méxico,728
einen,727
event,727
saúde,727
sein,725
happen,725
date,724
society,724
depuis,724
push,724
waiting,723
local,723
lesoleildeqc,722
works,722
pre,722
head,720
key,720
whoafro,720
ans,719
absolutely,719
result,719
officials,719
causing,718
rising,717
nature,715
matter,715
injury,714
saw,714
dosis,712
period,711
20aniversariobarrioadentro,711
ook,710
switzerland,709
highbrow_nobrow,709
